spkid,full_name,pdes,orbit_id,pha,min_orbit_intersection_dist,epoch,eccentricity,semi_major_axis,perihelion_dist,inclination,mean_anomaly,time_of_perihelion_passage,abs_magnitude
3797911,2018_BQ5,2018 BQ5,JPL 4,0,0.256,2458143.5,0.5079,1.892,0.931,1.19,12.14,2458111.45,27.34
3798020,2018_BW5,2018 BW5,JPL 6,0,105.0,2461000.5,0.3968,2.082,1.256,1.06,211.41,2461453.58,22.07
3798018,2018_BX5,2018 BX5,JPL 3,0,0.207,2461000.5,0.3332,1.317,0.878,0.09,94.1,2460856.13,28.9
3798017,2018_BY5,2018 BY5,JPL 2,0,2.57,2458143.5,0.6487,2.455,0.863,3.97,9.01,2458108.31,26.1
3798019,2018_BZ5,2018 BZ5,JPL 4,0,6.24,2458145.5,0.5266,1.738,0.823,3.51,19.21,2458100.85,26.0
3798966,2018_BC6,2018 BC6,JPL 4,0,34.9,2461000.5,0.57,2.493,1.072,1.95,357.1,2461012.1,24.6
3798967,2018_BD6,2018 BD6,JPL 6,1,18.6,2461000.5,0.5747,2.42,1.029,48.89,31.48,2460880.25,20.8
3798969,2018_BE6,2018 BE6,JPL 6,0,1.6,2461000.5,0.5522,1.872,0.838,20.64,2.57,2460993.82,24.5
3798968,2018_BF6,2018 BF6,JPL 2,0,3.94,2458144.5,0.7132,2.51,0.72,2.26,11.21,2458099.28,25.6
3798974,2018_BH6,2018 BH6,JPL 20,0,104.0,2461000.5,0.5819,2.658,1.111,25.4,268.25,2461403.95,18.38
3798975,2018_BJ6,2018 BJ6,JPL 2,0,2.8,2461000.5,0.118,1.124,0.991,6.17,209.08,2461182.95,28.5
3798971,2018_BK6,2018 BK6,JPL 3,0,29.3,2458144.5,0.2255,1.33,1.03,24.03,18.79,2458115.28,24.8
3798972,2018_BL6,2018 BL6,JPL 8,0,24.8,2461000.5,0.5653,2.388,1.038,2.74,42.85,2460840.08,24.37
3798970,2018_BM6,2018 BM6,JPL 2,0,8.72,2458144.5,0.3969,1.66,1.001,0.98,357.76,2458149.36,26.6
3798973,2018_BN6,2018 BN6,JPL 5,0,0.627,2461000.5,0.3438,1.113,0.73,2.09,291.58,2461082.01,26.8
3798984,2018_BO6,2018 BO6,JPL 2,0,19.1,2458147.5,0.5492,2.267,1.022,19.01,356.38,2458160.04,25.4
3798982,2018_BP6,2018 BP6,JPL 9,0,1.78,2461000.5,0.5838,2.058,0.856,8.38,216.28,2461430.96,24.62
3798981,2018_BQ6,2018 BQ6,JPL 3,0,0.021,2458147.5,0.5276,1.962,0.927,4.41,349.7,2458176.22,27.5
3798979,2018_BR6,2018 BR6,JPL 5,0,17.2,2461000.5,0.196,1.221,0.981,13.12,317.16,2461059.1,26.3
3798980,2018_BS6,2018 BS6,JPL 4,0,2.69,2458147.5,0.2929,1.262,0.892,14.42,329.0,2458192.08,24.9
3798985,2018_BT6,2018 BT6,JPL 15,1,0.657,2461000.5,0.8275,2.25,0.388,3.0,125.92,2460569.26,21.32
3798983,2018_BU6,2018 BU6,JPL 4,0,2.21,2458148.5,0.6181,2.059,0.786,8.52,14.77,2458104.24,24.8
3798987,2018_BY6,2018 BY6,JPL 9,0,4.21,2461000.5,0.2802,1.21,0.871,6.56,50.57,2460932.2,23.45
3798988,2018_BZ6,2018 BZ6,JPL 4,0,74.9,2461000.5,0.35,1.735,1.128,40.83,133.9,2460689.91,22.0
3798993,2018_BA7,2018 BA7,JPL 41,1,17.5,2461000.5,0.4923,1.477,0.75,18.37,162.7,2460704.28,18.79
3798990,2018_BB7,2018 BB7,JPL 11,0,29.0,2461000.5,0.6291,2.32,0.861,8.79,87.04,2460688.41,20.97
