mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_knn__metric,param_knn__n_neighbors,param_knn__p,param_knn__weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.013312053680419923,0.002876505726818784,0.07597589492797852,0.0034477716609737233,euclidean,35,2,uniform,"{'knn__metric': 'euclidean', 'knn__n_neighbors': 35, 'knn__p': 2, 'knn__weights': 'uniform'}",0.7982183663331204,0.781543183592364,0.7949709034135264,0.7844978212576896,0.786370044429255,0.789120063805191,0.006377276526977292,21
0.014003515243530273,0.0016442282612911302,0.10712337493896484,0.007146977369952404,euclidean,48,2,uniform,"{'knn__metric': 'euclidean', 'knn__n_neighbors': 48, 'knn__p': 2, 'knn__weights': 'uniform'}",0.8029465616350862,0.7934319778582074,0.7977560144773259,0.791951825586694,0.7915933299156983,0.7955359418946024,0.0043049448498642786,6
0.015192317962646484,0.0038574473294945353,0.04130196571350098,0.010411061319881346,minkowski,9,2,uniform,"{'knn__metric': 'minkowski', 'knn__n_neighbors': 9, 'knn__p': 2, 'knn__weights': 'uniform'}",0.7155230288836846,0.7052856433184302,0.688997587112341,0.6991149749373433,0.6897876794258373,0.6997417827355272,0.009946827840638784,44
0.01793537139892578,0.004502410980643253,0.09437928199768067,0.012816466772214537,minkowski,43,2,uniform,"{'knn__metric': 'minkowski', 'knn__n_neighbors': 43, 'knn__p': 2, 'knn__weights': 'uniform'}",0.8013781846568732,0.7888049109360584,0.7961869278262721,0.7885530587833219,0.789203477443609,0.792825311929227,0.005137811780599954,12
0.017291259765625,0.003401005313537325,0.05793662071228027,0.017870975133080714,euclidean,15,2,uniform,"{'knn__metric': 'euclidean', 'knn__n_neighbors': 15, 'knn__p': 2, 'knn__weights': 'uniform'}",0.7552959335746221,0.7451344830033355,0.7400031935277838,0.7347701640464799,0.7346395107085896,0.7419686569721622,0.007707612963859261,37
0.01503911018371582,0.003977171577773479,0.06073231697082519,0.013968308350477056,manhattan,10,2,uniform,"{'knn__metric': 'manhattan', 'knn__n_neighbors': 10, 'knn__p': 2, 'knn__weights': 'uniform'}",0.7235114612163791,0.721129799162586,0.7011454119650841,0.7114455172020961,0.6857271018455229,0.7085918582783336,0.01390096782333504,42
0.01691279411315918,0.005055168211228474,0.13159241676330566,0.00867780654267786,manhattan,44,1,uniform,"{'knn__metric': 'manhattan', 'knn__n_neighbors': 44, 'knn__p': 1, 'knn__weights': 'uniform'}",0.8054839968774395,0.7991973600170321,0.7954311262507984,0.7929098313966736,0.7926268084985191,0.7971298246080926,0.004796623184485509,4
0.01540546417236328,0.0032248271083703157,0.059754037857055665,0.020402899109291,manhattan,6,2,uniform,"{'knn__metric': 'manhattan', 'knn__n_neighbors': 6, 'knn__p': 2, 'knn__weights': 'uniform'}",0.6882691079412391,0.6641136186218153,0.6533500106450927,0.6656328320802005,0.6473502648667122,0.663743166831012,0.014014098522143218,49
0.017398691177368163,0.002583103192888694,0.07804861068725585,0.02061493816675065,minkowski,26,2,distance,"{'knn__metric': 'minkowski', 'knn__n_neighbors': 26, 'knn__p': 2, 'knn__weights': 'distance'}",0.7818380526577247,0.7758906394152296,0.785980058193173,0.7661639895192527,0.7657595693779905,0.7751264618326741,0.008142414346662435,29
0.016451454162597655,0.0035876938301826924,0.0967331886291504,0.014308657832537429,minkowski,40,1,uniform,"{'knn__metric': 'minkowski', 'knn__n_neighbors': 40, 'knn__p': 1, 'knn__weights': 'uniform'}",0.8034632034632034,0.7968359236392023,0.7950333546235187,0.7875825928457507,0.7926709529505582,0.7951172055044466,0.0052032921193899805,9
